category_name,brand_name,waves,mean_p,obs_var,noise_var,signal_var,reliability,max_attainable_r
Chocolate & Confectionery,Allens,23,0.49465480744669565,0.001414912032584967,8.86978158559931e-4,5.27933874025036e-4,0.3731213403143725,0.6108365905169504
Chocolate & Confectionery,Boodles,23,0.015956458662652172,3.0980711185041196e-4,6.065145012337203e-5,2.4915566172703995e-4,0.8042283478868067,0.8967877942338459
Chocolate & Confectionery,Cadbury,23,0.8178154519223478,0.001117605551513172,5.339800044353825e-4,5.836255470777895e-4,0.5222106728868651,0.7226414552783871
Chocolate & Confectionery,Darrell Lea,23,0.5090029907513913,0.0016034823555908075,8.865493421996017e-4,7.169330133912058e-4,0.4471100108407802,0.6686628528943269
Chocolate & Confectionery,KitKat,23,0.7040009124156087,0.0013863079865125692,7.420773254277573e-4,6.442306610848119e-4,0.46470962250275605,0.6816961364880662
Chocolate & Confectionery,Lindt,23,0.6267719702913913,0.0010523218544827935,8.333859975401733e-4,2.1893585694262023e-4,0.2080502804441187,0.4561252902921726
Chocolate & Confectionery,The Natural Confectionery Co.,23,0.47344835892613046,8.665713055055041e-4,8.859298754069542e-4,0,0,0
Chocolate bars and blocks,Cadbury,30,0.8048364330500334,0.0014092585146269223,6.070204577586068e-4,8.022380568683154e-4,0.5692625224838146,0.754494879030875
Chocolate bars and blocks,Darrell Lea,30,0.48091459371393336,0.002185596757037923,9.634805510821159e-4,0.0012221162059558072,0.5591682006392188,0.7477755014970863
Chocolate bars and blocks,KitKat,30,0.6676615239815,0.0013402772690925533,8.582706375764222e-4,4.8200663151613116e-4,0.3596320273658584,0.5996932777394277
Chocolate bars and blocks,Life Savers,30,0.15331749427036667,7.552611327869753e-4,5.019172226085832e-4,2.5334391017839213e-4,0.33543882927423047,0.5791708118286266
Chocolate bars and blocks,Lindt,30,0.6253405286054333,0.0021278824033743073,9.046355106458412e-4,0.0012232468927284661,0.5748658341216094,0.7581990728836387
Chocolate bars and blocks,Old Gold,30,0.3694139376414333,0.0011242087833535613,9.01854825203268e-4,2.2235395815029327e-4,0.19778706717359226,0.44473257939304633
Chocolate bars and blocks,Toblerone,30,0.16758661535533334,0.05851214322014467,3.4049912282791285e-4,0.05817164409731675,0.9941807101211995,0.9970861096822077
Chocolate bars and blocks,Tony's Chocolonely,30,0.05635185478753334,0.0022461944796519973,2.0231620051939942e-4,0.002043878279132598,0.9099293483479916,0.9539021691703985
Chocolate bars and blocks,Whittaker's,30,0.3536923082348667,7.340000461387704e-4,8.87092612416626e-4,0,0,0
Chocolate confectionery,Allens,31,0.46593284524996775,0.001103912710378171,9.587636576406933e-4,1.451490527374778e-4,0.13148598740905304,0.3626099659538511
Chocolate confectionery,Cadbury,31,0.8337972268648065,7.195880948476104e-4,5.36852351776225e-4,1.827357430713854e-4,0.25394492262977747,0.5039294818025409
Chocolate confectionery,Darrell Lea Balls,31,0.22395663481735484,8.482600803785347e-4,6.672045088496203e-4,1.8105557152891432e-4,0.21344346588621566,0.46199942195441723
Chocolate confectionery,Darrell Lea Bullets,31,0.35619102733438707,0.0013545604622781963,8.811102276662635e-4,4.734502346119328e-4,0.34952314628735764,0.5912048260014101
Chocolate confectionery,Darrell Lea Twists,31,0.2266532386205484,0.0011271285249642086,6.719252076023046e-4,4.5520331736190406e-4,0.4038610569068499,0.6355006348595176
Chocolate confectionery,M&M's,31,0.6562091246352904,0.0012743444373611499,8.704233915531598e-4,4.0392104580799e-4,0.31696379249271883,0.5629953751965631
Chocolate confectionery,Maltesers,31,0.6372573083773548,0.0012191172676784454,8.926400596017841e-4,3.264772080766613e-4,0.2677980344732292,0.5174920622320976
Chocolate confectionery,Pods,31,0.3641341178796774,7.663996608591419e-4,8.91737878930753e-4,0,0,0
Coffee,Allpress Espresso,30,0.07154378432626667,3.4099395812327857e-4,2.4203174591117227e-4,9.89622122121063e-5,0.2902169081140399,0.538717837196839
Coffee,Axil,15,0.0302412398536,1.4754322606431688e-4,1.0971120113339376e-4,3.7832024930923116e-5,0.2564131606721912,0.5063725512625968
Coffee,Campos,30,0.19814952165833333,7.704714021534392e-4,5.757499620110805e-4,1.9472144014235878e-4,0.2527302630546955,0.502722849147217
Coffee,Coffee Supreme,30,0.03665704981836667,2.76636210200438e-4,1.2893101275633217e-4,1.477051974441058e-4,0.533932984901309,0.7307071813670022
Coffee,Industry Beans,15,0.028079751120666668,1.2783073771387466e-4,1.0459038543678035e-4,2.324035227709431e-5,0.1818056649967359,0.42638675518446384
Coffee,ONA Coffee,21,0.02625282195857143,1.1578210093678966e-4,9.080426904946629e-5,2.4977831887323365e-5,0.21573137544774576,0.46446891763361925
Coffee,Pablo & Rusty's,21,0.02608216076885714,1.352261076549849e-4,9.198293470811733e-5,4.324317294686757e-5,0.31978420215420195,0.5654946526309528
Coffee,Padre Coffee,21,0.04114761450571429,1.4501447811792424e-4,1.413849327903403e-4,3.629545327583954e-6,0.025028847979113134,0.1582050820268209
