lag_months,mean_r,n_brands,run
0,0.02146130321565335,380,placebo_78
1,0.009506655658383954,380,placebo_78
2,0.01599157089164335,371,placebo_78
3,0.022656862979034773,362,placebo_78
-3,-0.007812334504988237,363,placebo_79
-2,-0.01841843105240334,372,placebo_79
-1,-0.02182995127035955,382,placebo_79
0,-0.015889154682694646,382,placebo_79
1,-0.00875356625034451,382,placebo_79
2,-0.01597941125131876,372,placebo_79
3,-0.023914747814688102,363,placebo_79
-3,-0.049044425809189,359,placebo_80
-2,-0.044136607951766826,368,placebo_80
-1,-0.04120407676050491,378,placebo_80
0,-0.03147636624658446,379,placebo_80
1,-0.010654241333211937,379,placebo_80
2,0.005501989430464055,369,placebo_80
3,0.007528920694492512,360,placebo_80
-3,-0.036870835322503015,364,placebo_81
-2,-0.03474410360138136,372,placebo_81
-1,-0.024300614994580833,382,placebo_81
0,-0.017971755186569734,382,placebo_81
1,-0.013053039737607965,382,placebo_81
2,-0.008619355610052344,372,placebo_81
3,0.01135227021743438,364,placebo_81
-3,-0.00978898998618679,363,placebo_82
-2,0.009938994790858429,372,placebo_82
-1,0.012283603058153509,381,placebo_82
0,0.008344795870281845,381,placebo_82
1,0.003365019253986254,381,placebo_82
2,0.01204581467900245,372,placebo_82
3,0.009210469556642047,363,placebo_82
-3,-0.01480549814342815,361,placebo_83
-2,-0.018671510871593758,370,placebo_83
-1,-0.017890011160270895,380,placebo_83
0,-0.016060697182001187,381,placebo_83
1,-0.023491269028336835,381,placebo_83
2,-0.03918999120691193,371,placebo_83
3,-0.0445566745624483,362,placebo_83
-3,-0.024979374936572818,361,placebo_84
-2,-0.013973006058418407,370,placebo_84
-1,-0.009542211758875221,380,placebo_84
0,-0.010873547210338192,380,placebo_84
1,-0.024719877178734785,380,placebo_84
2,-0.027610381851526637,370,placebo_84
3,-0.03503705171885672,361,placebo_84
-3,-0.018848903243585312,361,placebo_85
-2,-0.018315700669012322,370,placebo_85
-1,-0.018911481122478063,379,placebo_85
0,-0.018061627380939575,379,placebo_85
1,-0.028691083098116767,379,placebo_85
2,-0.04769407805570624,370,placebo_85
3,-0.06953940904857935,361,placebo_85
-3,-0.04105342028750998,365,placebo_86
-2,-0.036843983440059055,373,placebo_86
-1,-0.03101247187080244,381,placebo_86
0,-0.022586018984927642,381,placebo_86
1,-0.02139967327987186,381,placebo_86
2,-0.012218143124773076,373,placebo_86
3,-0.02212335908283748,365,placebo_86
-3,-0.00835188279117684,359,placebo_87
-2,-0.015948843732316004,368,placebo_87
-1,-0.017912858310027337,378,placebo_87
0,-0.010934242157467428,378,placebo_87
1,-0.012070524817634183,378,placebo_87
2,-0.00887199086163764,368,placebo_87
3,-0.00904854886011219,359,placebo_87
-3,-0.038953101284490046,360,placebo_88
-2,-0.04183264072091742,369,placebo_88
-1,-0.0274149152946334,379,placebo_88
0,-0.012662275340645342,379,placebo_88
1,-0.008010439919708963,379,placebo_88
2,-0.009202945565009103,369,placebo_88
3,-0.014415414006718233,360,placebo_88
-3,-0.019037244129579817,362,placebo_89
-2,-0.031026625602871255,371,placebo_89
-1,-0.035319722292666764,381,placebo_89
0,-0.025413681078609925,381,placebo_89
1,-0.007590300010017253,381,placebo_89
2,0.012101978807839194,371,placebo_89
3,0.02331183172146514,362,placebo_89
-3,0.0033828337258848882,362,placebo_90
-2,0.01144275341578415,371,placebo_90
-1,0.014673762602472048,381,placebo_90
0,0.009061290395705154,381,placebo_90
1,0.007868886748746988,381,placebo_90
2,0.0059983594145482395,371,placebo_90
3,0.010891972579933684,362,placebo_90
-3,-0.04641246779187775,362,placebo_91
-2,-0.04808381662588808,370,placebo_91
-1,-0.04450310072805746,379,placebo_91
0,-0.03927170758841738,379,placebo_91
1,-0.023286389408367962,379,placebo_91
2,-0.016564754247186834,370,placebo_91
3,-0.01723925198948769,362,placebo_91
-3,-0.0352816123316795,364,placebo_92
-2,-0.013758782512757493,373,placebo_92
-1,-0.006036071044811744,382,placebo_92
0,-0.0022799327703185925,382,placebo_92
1,-0.0021318128435506302,382,placebo_92
2,-0.0014826909118632458,373,placebo_92
3,-0.0028015033243743094,364,placebo_92
-3,0.031535773171904646,359,placebo_93
-2,0.0253734518096863,367,placebo_93
-1,0.023079869902364922,377,placebo_93
0,0.021763620863377006,378,placebo_93
1,0.021701757621931123,378,placebo_93
2,0.0262486853107674,368,placebo_93
3,0.021107029317656577,360,placebo_93
-3,0.019323460682492643,363,placebo_94
-2,0.01660418256592407,372,placebo_94
-1,-0.0020749114462742715,382,placebo_94
0,-0.027532608685268068,382,placebo_94
1,-0.03192972793199053,382,placebo_94
2,-0.020295951688354092,372,placebo_94
3,-0.02471856126171341,363,placebo_94
-3,-0.017252901429424185,361,placebo_95
-2,-0.013224357691830226,369,placebo_95
-1,-0.018243575298206482,379,placebo_95
0,-0.017112649809612815,379,placebo_95
1,-0.01151827295404798,379,placebo_95
2,-0.009969145875323394,369,placebo_95
3,-0.004736458544438765,361,placebo_95
-3,-0.006155671027048676,359,placebo_96
-2,-0.01073811766988955,368,placebo_96
-1,-0.025596539882259586,378,placebo_96
0,-0.03606251818948718,378,placebo_96
1,-0.05005074440588635,378,placebo_96
2,-0.05754103942239841,368,placebo_96
3,-0.03955268895866905,359,placebo_96
-3,9.356863272928473e-4,361,placebo_97
-2,-0.005429635408869201,370,placebo_97
-1,-0.010357312698565784,380,placebo_97
0,-0.015200068554320097,380,placebo_97
1,-0.018614395728781784,380,placebo_97
2,-0.017166450206213473,370,placebo_97
3,-0.024760048036592187,361,placebo_97
-3,0.02694410961415418,362,placebo_98
-2,0.013123622035290267,371,placebo_98
-1,-0.008728731023045257,380,placebo_98
0,-0.017778092986196967,380,placebo_98
1,-0.0218843088291588,380,placebo_98
