category_name,brand_name,sos,soc,soa,sop,consideration,awareness,conversion,waves
Furniture & Homeware,Temple & Webster,0.14775383777653783,0.16283954872753023,0.16494000149954877,0.12581655661647911,0.32347670938175677,0.5419526096913514,0.5966255032227941,37
Furniture & Homeware,West Elm,0.015431495723670672,0.03003065281965401,0.03304071309410755,0.022245883902524678,0.05799078075524324,0.10660612777421621,0.5435787411836598,37
Garden Care,Brunnings,0.06939503157667995,0.18933681715173534,0.19398435937084957,0.16863085390434024,0.45486969912795,0.59600934003165,0.7623394807066819,20
Garden Care,Garden Basics,0.021563541650608833,0.05334308882093165,0.056190687745498756,0.05928591611355664,0.13543567157957143,0.1868358423107143,0.7206649897444309,7
Garden Care,Neutrog,0.5269182398350446,0.019900624435670262,0.024141001372500383,0.020567312621153286,0.04786281255355,0.0743204360513,0.6481110055065057,20
Garden Care,PowerFeed,0.030182201102110562,0.07133115704309304,0.08234711815571212,0.04200478290673497,0.1768407357162,0.2680140176603,0.6597444572505305,10
Garden Care,Richgro,0.06654274602091761,0.11459047929895028,0.12245488203697373,0.051163504118849915,0.27600518846315003,0.37727028084885,0.7319807242243458,20
Garden Care,Scotts,0.09551163401274915,0.11878873799596827,0.13836788825127766,0.06558752559361013,0.28671002568415,0.42659527939695,0.6719357603184494,20
Garden Care,Seasol,0.09656664811629312,0.2328483417831009,0.21156025612431312,0.29738223165733796,0.5594252861537,0.6503514990448,0.8597651466747738,20
Garden Care,Yates,0.09709215006109381,0.27019933972570237,0.2486513130553049,0.3549161100115961,0.64937505642105,0.7638657682569,0.8495615358243973,20
Haircare,BondiBoost,0.08061617372264376,0.022393822726173632,0.023727200854926894,0.022198592031938857,0.047802530752699995,0.1012334595985,0.47905525575612,20
Haircare,Fruits,0.679727822999492,0.026445622560599683,0.03989231109749394,0.024302611153405002,0.05473816976,0.166039146705,0.33251727793268904,9
Haircare,Garnier Fructis,0.006789826350937277,0.18820331326081963,0.17994168153877402,0.19647514657472814,0.38793910287215,0.74461727631705,0.5208421328720231,20
Haircare,Georgiemane,0.0145270847047156,0.00924660558587256,0.007448098247062681,0.011473328711959226,0.0197176206226,0.03187458671075,0.6420899787232677,20
Haircare,Glow Lab,0.01191070454908173,0.049490514975677795,0.052578985836532685,0.031519991503112924,0.10283521169865,0.21864948139195,0.47308541261678533,20
Haircare,Herbal Essences,0.01278207822265282,0.13662534847342375,0.1430218134690001,0.10425811244686184,0.2822001699555,0.5925237415935,0.47543682266451126,20
Haircare,MONDAY,0.015071712282620166,0.01690610685217486,0.019383487152503286,0.015184195773961818,0.0350495133803,0.0804455257246,0.43105611663824034,20
Haircare,My Soda,0.014269037063315521,0.020264474005697482,0.018685381665731356,0.0234545311895493,0.0420501136936,0.0775633852095,0.5302802799279734,20
Haircare,OGX,0.02296109388308569,0.02804968043222343,0.026679399236580404,0.035936445630437096,0.05779807774995,0.11047403524875,0.5240496743966713,20
Haircare,Palmolive,0.04169974411493795,0.18669565166772814,0.18547581886800876,0.20881959162165997,0.38380442703445,0.7673720748823,0.5010532972371523,20
Haircare,Sukin,0.06592120056971812,0.14073941215170752,0.13473919048879904,0.14819049805318366,0.28999171652025,0.5588062621959,0.5182415577818115,20
Haircare,Sunsilk,0.007838143673028802,0.17495857138019102,0.1753312525422816,0.18172556466467846,0.36007944997925,0.7253665634838,0.49651845654725424,20
Haircare,Thanks To Nature,0.005547529922894434,0.014525968336040335,0.015036150105926906,0.009827826778896475,0.02994614057215,0.0623709599754,0.48298200201895397,20
Health & Beauty Retailers,Adore Beauty,0.8530513056921328,0.12708527509369363,0.18149584414523368,0.046398448588940835,0.1602856092956,0.32176133356637143,0.49713612162907767,35
Health & Beauty Retailers,Chemist Warehouse,0.05266937620286041,0.6324068122632104,0.4993459812777872,0.8162695307342385,0.7951690416117715,0.8830626359631143,0.9003603653468838,35
Health & Beauty Retailers,Mecca,0.050516021592908744,0.20077423225461916,0.26837831623498004,0.11785751957025409,0.2532008308692,0.4757016184722571,0.5319070261125087,35
Health & Beauty Retailers,Nourished Life,0.04376329651209801,0.03973368038847679,0.05077985834199916,0.019474501106566608,0.04995470463751429,0.08971651722877143,0.5578917817084099,35
Healthy Beverages,Bundaberg,0.0824987901681872,0.5783608851807095,0.5213856098450874,0.6825023517657424,0.5090106721258333,0.6827353798563611,0.7444119711002184,36
Healthy Beverages,Naked Life,0.002740754829567857,0.08347086415128085,0.10448350981644636,0.055148556644516435,0.07387034536913889,0.13714726597102778,0.5322971591037577,36
Healthy Beverages,Nexba,0.007597227109307351,0.16932104065905598,0.19550699257172446,0.12433410956108082,0.14811056166288888,0.2562658987956667,0.582587919058917,36
Healthy Beverages,Remedy,0.416321437279338,0.12305054091077497,0.12666698330306053,0.0980744990154935,0.10785461810061112,0.16550154475466666,0.6495522755876473,36
Healthy Beverages,Shine,0.49084179061359956,0.04579666909817868,0.051956904463681265,0.03994048301316682,0.04018321909361111,0.067921191456,0.5944741670599956,36
Holiday Destinations,Bali,0.3310936414678298,0.2883014072949729,0.3532193922722265,0.37488245267475734,0.4254209314508,0.86781431888655,0.49039185182470124,20
Holiday Destinations,"Port Douglas, Queensland",0.06045967977057927,0.3034444444494848,0.30554719131710484,0.1676358463170347,0.4481898502496,0.75091082551785,0.5966297646369537,20
Holiday Destinations,Tasmania,0.608446678761591,0.4082541482555423,0.3412334164106686,0.45748170100820795,0.60302985762845,0.8386967490199,0.7188492342450363,20
Homeware,Adairs,0.20912510180783914,0.17723250579971678,0.17518497326696827,0.16316384061146608,0.43517919355714285,0.6733197544787619,0.6456090844955796,21
Homeware,Bed Bath N’ Table,0.0847289680250315,0.1398869594335877,0.1282712173802842,0.14542905911546902,0.38689290436014284,0.563724834378381,0.6862003120527669,21
Homeware,Bed Threads,0.013752507316715496,0.03249764263507492,0.037374919467083434,0.020622406876817448,0.07740390065342857,0.13978024548719048,0.5517583482654382,21
Homeware,Dusk,0.05077870966201841,0.08908413522587294,0.08933757074726396,0.0926836037044926,0.25621913674314284,0.40722214476714286,0.6279292310707991,21
Homeware,Freedom,0.10861837318831612,0.13451213834582798,0.1386880892807451,0.12751936184186502,0.40063411818144445,0.6646847191164444,0.6027716124390005,9
Homeware,I Love Linen,0.005926066918852727,0.015348605258267554,0.016414948125466504,0.01294375209378436,0.03644108500157143,0.06130883678257143,0.5970094710239323,21
Homeware,Koala,0.1819290960374382,0.07314942476620372,0.09001535250541003,0.055407721772306254,0.20234608185138095,0.39482605976252383,0.5114112351935953,21
Homeware,Pillow Talk,0.08140860741454424,0.0913141012008228,0.08854948171139423,0.10012881724743339,0.252982903146,0.38873198952138094,0.6502617551359425,21
