category_name,brand_name,query_token,kind,detail,tier
Liquor Retailer,SipnSave,SipnSave,term,naive:raw-term,trends.naive
Liquor Retailer,The Bottle-O,The Bottle-O,term,naive:raw-term,trends.naive
Liquor Retailer,Thirstycamel,Thirstycamel,term,naive:raw-term,trends.naive
"Mattresses, beds, and pillows",Ecosa,Ecosa,term,naive:raw-term,trends.naive
"Mattresses, beds, and pillows",Emma,Emma,term,naive:raw-term,trends.naive
"Mattresses, beds, and pillows",Eva,Eva,term,naive:raw-term,trends.naive
"Mattresses, beds, and pillows",Ikea,Ikea,term,naive:raw-term,trends.naive
"Mattresses, beds, and pillows",Koala,Koala,term,naive:raw-term,trends.naive
"Mattresses, beds, and pillows",Noa,Noa,term,naive:raw-term,trends.naive
"Mattresses, beds, and pillows",SleepMaker,SleepMaker,term,naive:raw-term,trends.naive
"Mattresses, beds, and pillows",Sleeping Duck,Sleeping Duck,term,naive:raw-term,trends.naive
"Mattresses, beds, and pillows",Sleepyhead,Sleepyhead,term,naive:raw-term,trends.naive
"Mattresses, beds, and pillows",Snooze,Snooze,term,naive:raw-term,trends.naive
Men's Clothing (Male Only),Calibre,Calibre,term,naive:raw-term,trends.naive
Men's Clothing (Male Only),Connor,Connor,term,naive:raw-term,trends.naive
Men's Clothing (Male Only),Cotton On,Cotton On,term,naive:raw-term,trends.naive
Men's Clothing (Male Only),Hallenstein Brothers,Hallenstein Brothers,term,naive:raw-term,trends.naive
Men's Clothing (Male Only),Industrie,Industrie,term,naive:raw-term,trends.naive
Men's Clothing (Male Only),Jack London,Jack London,term,naive:raw-term,trends.naive
Men's Clothing (Male Only),M.J. Bale,M.J. Bale,term,naive:raw-term,trends.naive
Men's Clothing (Male Only),Oxford,Oxford,term,naive:raw-term,trends.naive
Men's Clothing (Male Only),Peter Jackson,Peter Jackson,term,naive:raw-term,trends.naive
Men's Clothing (Male Only),Politix,Politix,term,naive:raw-term,trends.naive
Men's Clothing (Male Only),Tarocash,Tarocash,term,naive:raw-term,trends.naive
Men's Clothing (Male Only),yd.,yd.,term,naive:raw-term,trends.naive
Men's Online Health Providers,Advanced Hair Studio,Advanced Hair Studio,term,naive:raw-term,trends.naive
Men's Online Health Providers,Ashley & Martin,Ashley & Martin,term,naive:raw-term,trends.naive
Men's Online Health Providers,Burst Health,Burst Health,term,naive:raw-term,trends.naive
Men's Online Health Providers,Doctors (e.g. GP),Doctors (e.g. GP),term,naive:raw-term,trends.naive
Men's Online Health Providers,His Clinic,His Clinic,term,naive:raw-term,trends.naive
Men's Online Health Providers,Manscaped,Manscaped,term,naive:raw-term,trends.naive
Men's Online Health Providers,Men's Health Clinic,Men's Health Clinic,term,naive:raw-term,trends.naive
Men's Online Health Providers,Mosh,Mosh,term,naive:raw-term,trends.naive
